Item,CH105_inplane_C(1)(1),CH105_Time_SEC(1)(1),CH106_inplane_C(1)(1),CH106_Time_SEC(1)(1),CH107_inplane_C(1)(1),CH107_Time_SEC(1)(1),CH108_inplane_C(1)(1),CH108_Time_SEC(1)(1),CH109_inplane_C(1)(1),CH109_Time_SEC(1)(1),CH110_inplane_C(1)(1),CH110_Time_SEC(1)(1),CH125_inplane_C(1)(1),CH125_Time_SEC(1)(1),CH126_inplane_C(1)(1),CH126_Time_SEC(1)(1),CH127_inplane_C(1)(1),CH127_Time_SEC(1)(1),CH128_inplane_C(1)(1),CH128_Time_SEC(1)(1),CH129_inplane_C(1)(1),CH129_Time_SEC(1)(1),CH130_inplane_C(1)(1),CH130_Time_SEC(1)(1),CH205_throughplane_C(1)(1),CH205_Time_SEC(1)(1),CH206_throughplane_C(1)(1),CH206_Time_SEC(1)(1),CH207_throughplane_C(1)(1),CH207_Time_SEC(1)(1),CH208_throughplane_C(1)(1),CH208_Time_SEC(1)(1),CH209_throughplane_C(1)(1),CH209_Time_SEC(1)(1),CH210_throughplane_C(1)(1),CH210_Time_SEC(1)(1),CH225_throughplane_C(1)(1),CH225_Time_SEC(1)(1),CH226_throughplane_C(1)(1),CH226_Time_SEC(1)(1),CH227_throughplane_C(1)(1),CH227_Time_SEC(1)(1),CH228_throughplane_C(1)(1),CH228_Time_SEC(1)(1),CH229_throughplane_C(1)(1),CH229_Time_SEC(1)(1),CH230_throughplane_C(1)(1),CH230_Time_SEC(1)(1),
21,17.4209595,99.953493,17.3834534,99.979723,17.3876381,100.005943,17.3640785,100.031946,17.405407,100.057942,17.3698597,100.083939,17.4559917,100.109937,17.4193497,100.135958,17.375267,100.161941,17.3965607,100.187947,17.3882351,100.216232,17.3678741,100.242206,17.4737434,100.301942,17.4039059,100.327942,17.4341965,100.353956,17.4515419,100.379945,17.4468784,100.40594,17.4775791,100.431938,17.4283104,100.457939,17.432272,100.483936,17.4682293,100.509943,17.4688854,100.540587,17.4767303,100.566945,17.4169559,100.592943,
22,17.4185371,104.949008,17.3842907,104.983853,17.3861046,105.009937,17.3671894,105.035947,17.4044781,105.061938,17.3693733,105.087941,17.4572983,105.113943,17.41502,105.139942,17.3795242,105.165938,17.3968868,105.191959,17.3893051,105.220942,17.370575,105.246947,17.4743977,105.306332,17.4059525,105.332065,17.4262562,105.357964,17.4551678,105.383942,17.4431801,105.409939,17.4861755,105.435945,17.421093,105.461942,17.4344196,105.487938,17.4674015,105.513945,17.4694271,105.540486,17.4808712,105.569081,17.4130554,105.595286,
23,17.4192867,109.948705,17.3840141,109.974946,17.3913155,110.000945,17.3631535,110.026952,17.4104385,110.052945,17.3678627,110.078945,17.4568806,110.104942,17.4172554,110.130937,17.3771591,110.156943,17.3972912,110.182944,17.3870602,110.212452,17.3679066,110.238404,17.4683132,110.29794,17.4101295,110.323943,17.42873,110.34994,17.4552155,110.375939,17.4483566,110.401938,17.4754524,110.427946,17.4315472,110.453943,17.4295444,110.479943,17.4740238,110.505942,17.4721546,110.53679,17.4732285,110.562944,17.421217,110.588943,
24,17.4189739,114.946333,17.385704,114.981189,17.3903999,115.007101,17.366045,115.03304,17.4061718,115.058938,17.3723183,115.084941,17.4549809,115.110938,17.4200172,115.13694,17.3778191,115.162945,17.3955555,115.188946,17.392765,115.219155,17.3675728,115.245087,17.4757957,115.304492,17.4045525,115.330201,17.4289074,115.356128,17.4537029,115.38205,17.4480133,115.407944,17.4810181,115.433935,17.4240723,115.45994,17.437212,115.48594,17.4670238,115.511941,17.4705982,115.540106,17.4804535,115.568718,17.4138966,115.594938,
25,17.4207439,119.948081,17.3844948,119.974315,17.3910942,120.000271,17.3657646,120.025942,17.4106827,120.051942,17.3689671,120.077943,17.460041,120.103943,17.4161739,120.129957,17.3779984,120.15594,17.39855,120.181938,17.3883648,120.208003,17.3725185,120.237724,17.469635,120.296944,17.4112587,120.32294,17.4263897,120.348958,17.4579105,120.374939,17.4465275,120.400939,17.4802475,120.426949,17.4310665,120.452944,17.4271069,120.478939,17.4751034,120.504938,17.4649696,120.530946,17.4817829,120.557401,17.4178944,120.583625,
26,17.4178219,124.946232,17.3840389,124.978098,17.3949203,125.003988,17.3646507,125.029945,17.4075184,125.055942,17.3723145,125.081941,17.456646,125.107949,17.4170208,125.133944,17.3769684,125.159943,17.398674,125.185948,17.386301,125.211941,17.3708248,125.238539,17.4695396,125.297944,17.4086018,125.326469,17.4333363,125.35238,17.45294,125.378574,17.4515858,125.404941,17.4781494,125.430941,17.4288063,125.456947,17.4307632,125.482953,17.4745731,125.508942,17.4680271,125.535015,17.4747982,125.566052,17.4212971,125.592284,
27,17.4189548,129.946946,17.3858242,129.973195,17.3911686,129.999163,17.3660717,130.024943,17.4099197,130.05094,17.371851,130.076944,17.4590187,130.102938,17.4133835,130.128957,17.3807507,130.15494,17.396841,130.180941,17.3883743,130.206941,17.3707314,130.233807,17.4687729,130.295862,17.4147301,130.32207,17.4245033,130.348005,17.4595699,130.373949,17.4425411,130.399939,17.4839668,130.425945,17.4268513,130.451945,17.4325352,130.477957,17.4756908,130.503941,17.4621983,130.529939,17.4828396,130.556,17.4234657,130.586802,
28,17.4201355,134.946356,17.3850498,134.978228,17.3933258,135.004123,17.3654861,135.030058,17.4137077,135.055937,17.3730125,135.081936,17.4560966,135.107942,17.4171257,135.133938,17.3791637,135.159943,17.3997097,135.185938,17.3873386,135.211941,17.3725109,135.238032,17.470953,135.301035,17.4122486,135.326946,17.4314384,135.352955,17.4541054,135.378947,17.4512119,135.404938,17.4784775,135.430945,17.4310608,135.456949,17.4300823,135.482957,17.475008,135.50894,17.4664497,135.534947,17.480835,135.560943,17.4218197,135.58694,
29,17.4199638,139.94779,17.3878632,139.974071,17.3913975,140.008864,17.3692265,140.034939,17.4106617,140.060956,17.373827,140.086943,17.4554043,140.112944,17.4194469,140.138945,17.3774376,140.164942,17.398222,140.190956,17.3897953,140.216941,17.3689728,140.242946,17.4708805,140.302303,17.4095879,140.328436,17.431572,140.357939,17.4536285,140.383949,17.4496956,140.409937,17.481863,140.435945,17.4280167,140.461943,17.4360371,140.487956,17.4683685,140.513943,17.4746265,140.539943,17.4762859,140.565939,17.4230614,140.591939,
30,17.4217358,144.94914,17.3875771,144.975057,17.3932495,145.000993,17.3683052,145.027076,17.412344,145.052939,17.3738327,145.078941,17.4600201,145.104943,17.4146137,145.130935,17.3831177,145.156945,17.3982468,145.18294,17.3891773,145.208946,17.3712349,145.234935,17.4754333,145.29435,17.4079151,145.320087,17.4259834,145.346111,17.4615726,145.374506,17.4449635,145.403111,17.4826355,145.42904,17.4300537,145.454955,17.431776,145.480938,17.4789982,145.506942,17.4633999,145.532945,17.481802,145.558941,17.4185925,145.584939,
31,17.4215488,149.948209,17.3913441,149.974476,17.3960419,150.006002,17.3683357,150.031945,17.4149837,150.058099,17.3743286,150.084129,17.4573097,150.110341,17.4184475,150.136306,17.3806686,150.162265,17.4006176,150.18818,17.3883591,150.21411,17.3737621,150.239938,17.4689693,150.299326,17.4161301,150.325272,17.4251194,150.350937,17.4597645,150.376954,17.4476547,150.405149,17.4792099,150.433745,17.4316139,150.459945,17.4308872,150.48594,17.4751644,150.511951,17.468626,150.53794,17.4792595,150.563941,17.4242554,150.589941,
32,17.4232922,154.946938,17.3915024,154.972944,17.393919,154.99894,17.3742561,155.024939,17.4099731,155.050941,17.3750916,155.077034,17.4597015,155.104494,17.4182549,155.130074,17.382473,155.155944,17.3977928,155.181939,17.3941174,155.20794,17.3697128,155.23394,17.4770336,155.293368,17.4074173,155.319086,17.4305649,155.344996,17.4551582,155.370939,17.4492321,155.396951,17.4888287,155.425063,17.423584,155.451282,17.4365368,155.479863,17.4734478,155.505943,17.4671345,155.531943,17.4855404,155.557936,17.4161243,155.583946,
33,17.4244251,159.948098,17.3931427,159.974322,17.3956547,160.002865,17.3712482,160.028941,17.4145508,160.054942,17.3762207,160.080938,17.4611683,160.107022,17.4164333,160.134945,17.3802853,160.160952,17.4015846,160.186946,17.3918209,160.212938,17.3736897,160.238941,17.4743156,160.298332,17.4118176,160.324257,17.4247189,160.349939,17.4646378,160.375945,17.443367,160.401941,17.4857082,160.427944,17.4285431,160.456209,17.4338017,160.482149,17.4772911,160.510877,17.4663162,160.536946,17.4831028,160.562944,17.4198895,160.588943,
34,17.4263668,164.955758,17.3903389,164.982017,17.3978405,165.00795,17.3714809,165.033955,17.4182739,165.059943,17.3752956,165.085938,17.4595394,165.111948,17.4200954,165.137938,17.3816414,165.16394,17.4029884,165.192502,17.3897305,165.218396,17.3758831,165.244325,17.4713802,165.30394,17.4132347,165.329939,17.4291344,165.355945,17.4601936,165.38194,17.4493694,165.407938,17.4815292,165.433944,17.4340668,165.459945,17.4296875,165.486347,17.476408,165.512266,17.4686546,165.540836,17.4789772,165.566939,17.4264603,165.592942,
35,17.4266682,169.945939,17.3924522,169.972175,17.3962212,170.000719,17.3753452,170.026947,17.4126167,170.052941,17.3809834,170.078947,17.4618435,170.10494,17.4185009,170.130942,17.3829994,170.157019,17.3992767,170.184351,17.3954086,170.210271,17.3714676,170.235997,17.4810486,170.295375,17.4073391,170.321316,17.4323502,170.346957,17.4561329,170.37294,17.4515533,170.398939,17.4833488,170.424944,17.4281483,170.450939,17.4381447,170.476966,17.4737492,170.508041,17.4702911,170.533974,17.4831314,170.559943,17.4174023,170.58594,
36,17.4262981,174.951681,17.3959923,174.977939,17.39674,175.003942,17.3751659,175.029954,17.4155884,175.055939,17.3787441,175.08194,17.463192,175.107945,17.4201069,175.133937,17.3838043,175.159936,17.3995705,175.185945,17.3914299,175.214372,17.3742332,175.240306,17.4766369,175.299938,17.4106979,175.325939,17.4264965,175.351937,17.4621258,175.377937,17.4432774,175.40394,17.488802,175.429939,17.4269199,175.455946,17.438385,175.481938,17.4722328,175.507972,17.4667702,175.538987,17.4837246,175.564945,17.4199429,175.59094,
37,17.430027,179.947093,17.3924103,179.98194,17.3996201,180.007941,17.3753948,180.033949,17.4179611,180.059938,17.3781834,180.08594,17.4643936,180.111938,17.4182796,180.137935,17.3843575,180.163941,17.4028111,180.189944,17.3907604,180.220259,17.3781166,180.2462,17.4716396,180.305943,17.4148407,180.331943,17.4293289,180.357957,17.4603882,180.383942,17.448164,180.409942,17.4835052,180.435939,17.4341946,180.461948,17.4303722,180.487956,17.4781494,180.513937,17.4669342,180.540076,17.4790783,180.570013,17.4279881,180.595938,
38,17.42803,184.949942,17.394556,184.97619,17.3985577,185.002156,17.3778191,185.027941,17.4156399,185.053946,17.3826847,185.079946,17.4595871,185.105945,17.4196301,185.131937,17.3844681,185.157945,17.4014931,185.183938,17.393631,185.209935,17.3725185,185.236046,17.4784622,185.298936,17.4083271,185.324938,17.4305439,185.350955,17.4584293,185.376944,17.4484463,185.402941,17.4881535,185.428944,17.4243183,185.454946,17.440815,185.48094,17.4722862,185.506946,17.4738274,185.532942,17.4792461,185.558938,17.4239578,185.584944,
39,17.4338589,189.947081,17.3976784,189.978937,17.398283,190.004954,17.3784733,190.030977,17.4169483,190.056945,17.3807964,190.082941,17.4632263,190.108945,17.4207954,190.134942,17.3841267,190.160943,17.4006557,190.186941,17.3972588,190.212945,17.3723392,190.23894,17.4800434,190.298353,17.4080391,190.324193,17.4318409,190.350564,17.4578934,190.377258,17.4436646,190.405836,17.4878292,190.431942,17.427494,190.457945,17.4399853,190.483939,17.4735374,190.509944,17.4712009,190.535946,17.4828796,190.561938,17.4209709,190.587944,
40,17.4331818,194.946944,17.3931866,194.973199,17.4008617,194.999156,17.3771935,195.024953,17.4189701,195.05113,17.3827877,195.077058,17.4607182,195.102938,17.4222031,195.128956,17.3820171,195.154937,17.4067154,195.180946,17.3917351,195.206941,17.3732738,195.23294,17.4720268,195.292004,17.4158802,195.317937,17.4324837,195.343994,17.4561272,195.375279,17.4519272,195.401222,17.4836273,195.427158,17.432991,195.452946,17.4379787,195.478952,17.4727592,195.504945,17.4768715,195.530943,17.4770107,195.556943,17.426199,195.582946,
41,17.4331169,199.946947,17.3971691,199.978821,17.3997269,200.004944,17.3799171,200.030948,17.4174156,200.056947,17.3827991,200.083279,17.4632874,200.109503,17.4202042,200.135076,17.3847446,200.160937,17.4031525,200.186944,17.3963146,200.212936,17.3734417,200.238943,17.4815083,200.298383,17.4072685,200.324121,17.4358196,200.350042,17.4575577,200.375981,17.4450569,200.406899,17.4896908,200.432938,17.42803,200.458944,17.4400101,200.484938,17.4739819,200.510939,17.4725533,200.536942,17.483017,200.562943,17.4214325,200.588939,
